Batch_ID,SKU,Batch_Quantity,Batch_Received_Date,Expiry_Date
BATCH_00001,SKU_0264,137,2023-01-01 00:00:00,2023-02-25 00:00:00
BATCH_00002,SKU_0227,73,2023-01-01 01:00:00,2023-10-31 01:00:00
BATCH_00003,SKU_0394,85,2023-01-01 02:00:00,2023-07-26 02:00:00
BATCH_00004,SKU_0211,71,2023-01-01 03:00:00,2023-08-10 03:00:00
BATCH_00005,SKU_0295,58,2023-01-01 04:00:00,2023-07-06 04:00:00
BATCH_00006,SKU_0114,62,2023-01-01 05:00:00,2023-09-22 05:00:00
BATCH_00007,SKU_0348,46,2023-01-01 06:00:00,2023-11-13 06:00:00
BATCH_00008,SKU_0213,215,2023-01-01 07:00:00,2023-12-28 07:00:00
BATCH_00009,SKU_0017,165,2023-01-01 08:00:00,2023-03-22 08:00:00
BATCH_00010,SKU_0019,56,2023-01-01 09:00:00,2023-02-28 09:00:00
BATCH_00011,SKU_0271,27,2023-01-01 10:00:00,2023-11-16 10:00:00
BATCH_00012,SKU_0218,231,2023-01-01 11:00:00,2023-06-03 11:00:00
BATCH_00013,SKU_0189,120,2023-01-01 12:00:00,2023-02-22 12:00:00
BATCH_00014,SKU_0106,15,2023-01-01 13:00:00,2023-02-28 13:00:00
BATCH_00015,SKU_0225,240,2023-01-01 14:00:00,2023-08-22 14:00:00
BATCH_00016,SKU_0126,83,2023-01-01 15:00:00,2023-10-01 15:00:00
BATCH_00017,SKU_0030,131,2023-01-01 16:00:00,2023-12-15 16:00:00
BATCH_00018,SKU_0243,214,2023-01-01 17:00:00,2023-06-14 17:00:00
BATCH_00019,SKU_0233,132,2023-01-01 18:00:00,2023-08-16 18:00:00
BATCH_00020,SKU_0288,58,2023-01-01 19:00:00,2023-06-07 19:00:00
BATCH_00021,SKU_0313,81,2023-01-01 20:00:00,2023-05-16 20:00:00
BATCH_00022,SKU_0376,191,2023-01-01 21:00:00,2023-02-24 21:00:00
BATCH_00023,SKU_0249,283,2023-01-01 22:00:00,2023-10-16 22:00:00
BATCH_00024,SKU_0065,280,2023-01-01 23:00:00,2023-03-29 23:00:00
BATCH_00025,SKU_0288,144,2023-01-02 00:00:00,2023-12-27 00:00:00
BATCH_00026,SKU_0379,176,2023-01-02 01:00:00,2023-02-10 01:00:00
BATCH_00027,SKU_0079,283,2023-01-02 02:00:00,2023-10-31 02:00:00
BATCH_00028,SKU_0268,22,2023-01-02 03:00:00,2023-05-07 03:00:00
BATCH_00029,SKU_0163,248,2023-01-02 04:00:00,2023-09-02 04:00:00
BATCH_00030,SKU_0108,226,2023-01-02 05:00:00,2023-10-27 05:00:00
BATCH_00031,SKU_0017,174,2023-01-02 06:00:00,2023-04-12 06:00:00
BATCH_00032,SKU_0098,232,2023-01-02 07:00:00,2023-05-21 07:00:00
BATCH_00033,SKU_0124,148,2023-01-02 08:00:00,2023-03-07 08:00:00
BATCH_00034,SKU_0186,71,2023-01-02 09:00:00,2023-02-10 09:00:00
BATCH_00035,SKU_0173,176,2023-01-02 10:00:00,2023-03-06 10:00:00
BATCH_00036,SKU_0278,134,2023-01-02 11:00:00,2023-11-28 11:00:00
BATCH_00037,SKU_0282,270,2023-01-02 12:00:00,2023-11-13 12:00:00
BATCH_00038,SKU_0165,107,2023-01-02 13:00:00,2023-09-06 13:00:00
BATCH_00039,SKU_0098,295,2023-01-02 14:00:00,2023-11-14 14:00:00
BATCH_00040,SKU_0281,139,2023-01-02 15:00:00,2023-10-26 15:00:00
BATCH_00041,SKU_0120,250,2023-01-02 16:00:00,2023-06-06 16:00:00
BATCH_00042,SKU_0051,269,2023-01-02 17:00:00,2023-07-06 17:00:00
BATCH_00043,SKU_0054,162,2023-01-02 18:00:00,2023-03-10 18:00:00
BATCH_00044,SKU_0141,175,2023-01-02 19:00:00,2023-08-18 19:00:00
BATCH_00045,SKU_0113,74,2023-01-02 20:00:00,2023-04-07 20:00:00
BATCH_00046,SKU_0138,84,2023-01-02 21:00:00,2023-06-26 21:00:00
BATCH_00047,SKU_0313,226,2023-01-02 22:00:00,2023-12-12 22:00:00
BATCH_00048,SKU_0041,297,2023-01-02 23:00:00,2023-08-20 23:00:00
BATCH_00049,SKU_0255,145,2023-01-03 00:00:00,2023-12-16 00:00:00
BATCH_00050,SKU_0380,106,2023-01-03 01:00:00,2023-03-28 01:00:00
BATCH_00051,SKU_0025,198,2023-01-03 02:00:00,2023-10-24 02:00:00
BATCH_00052,SKU_0306,11,2023-01-03 03:00:00,2023-11-20 03:00:00
BATCH_00053,SKU_0343,202,2023-01-03 04:00:00,2023-03-14 04:00:00
